"Type of formation","Vp min","Vp max","Vs min","Vs max","Density min","Density max"
"Soil",300,700,100,300,1.7,2.4
"Dry sands",400,1200,100,500,1.5,1.7
"Wet sands",1500,2000,400,600,1.9,2.1
"Saturated shales and clays",1100,2500,200,800,2.0,2.4
"Marls",2000,3000,750,1500,2.1,2.6
"Saturated shale and sand sections",1500,2200,500,750,2.1,2.4
"Porous and saturated sandstones",2000,3500,800,1800,2.1,2.4
"Limestones",3500,6000,2000,3300,2.4,2.7
"Chalk",2300,2600,1100,1300,1.8,3.1
"Salt",4500,5500,2500,3100,2.1,2.3
"Anhydrite",4000,5500,2200,3100,2.9,3.0
"Dolomite",3500,6500,1900,3600,2.5,2.9
"Granite",4500,6000,2500,3300,2.5,2.7
"Basalt",5000,6000,2800,3400,2.7,3.1
"Gneiss",4400,5200,2700,3200,2.5,2.7
"Coal",2200,2700,1000,1400,1.3,1.8
"Water",1450,1500,0,0,1.0,1
"Ice",3400,3800,1700,1900,0.9,.9
"Oil",1200,1250,0,0,0.6,0.9
