event	parameter	type	mean	+-	name
2	Z	normal	1111	111	unconformirty
3	Z	normal	2700	130	unconformirty
4	Z	normal	3968	100	unconformirty
5	Wavelength	normal	4000	100	fold
5	Amplitude	normal	350	20	fold
6	Dip	vonmises	70	10	fault
6	Dip Direction	vonmises	0	30	fault
7	Dip	vonmises	80	5	fault
7	Slip	vonmises	943	100	fault
7	Pitch	vonmises	90	5	fault
7	Dip Direction	vonmises	180	15	fault
8	Dip	vonmises	65	10	fault
8	Slip	vonmises	943	100	fault
8	Pitch	vonmises	90	5	fault
8	Dip Direction	vonmises	175	15	fault
